plot_id,lots_available
ITA1,"1,5"
ITA2,1
ITA24,5
ITA4,1
ITA7,"1,2,3,4,5"
ITB14,"3,4"
ITB18,"4,5"
ITB19,"1,2,3,4"
ITB2,3
ITB20,"1,2,3"
ITB21,"3,4"
ITB23,"1,2,3,4,5"
ITB8,"3,4,5"
ITC10,"1,2,3,4,5"
ITC11,"1,2,3,4,5"
ITC12,"1,2,3,4,5"
ITC14,"1,2,5"
ITC15,"1,2,3,4,5"
ITC3,"4,5"
ITC4,"1,2,3,4,5"
ITC5,"3,4,5"
ITC6,"4,5"
ITC7,"1,2,3,4,5"
ITC8,"1,2,3,4,5"
ITC9,"1,2,3,4,5"
NYE6,"2,3,4,5"
OYA3,"1,2"
OYD5,"1,2"
OYD7,4
OYE1,"1,2,3,4"
OYE8,2
OYH4,"1,2,5"
OYH5,"1,2,4,5"
OYH7,"1,2,5"
OYH9,"1,2,3"
OYJ1,4
OYJ12,"1,2,3,4"
OYJ2,"1,2,3,4"
OYJ3,"1,2,3,4"
OYJ4,"1,2,3,4"
OYJ5,"1,2,3,4"
OYK1,"3,4,5"
OYK2,"1,2,3"
OYL1,"2,3,4,5"
OYL11,"1,2,3"
OYL2,"1,2,3"
OYL8,"1,2,3,4,5"
OYL9,"1,2,3,4,5"
OYM10,"1,2,3,4,5"
OYM11,"1,2,3,4,5"
OYM12,"1,2,3,4,5"
OYM4,"1,2,3,4"
OYM5,"1,2,3,4"
OYM7,"1,2,3"
OYM9,"1,2,3,4,5"
UTA10,"1,2,4,5"
UTA16,"3,4,5"
UTB14,"1,2,3,4,5"
