"lot_id","plot_id","lot_number","purchased_rights","remaining_rights","status","notes"
"CYA1-L5","CYA1","5","1","3","Unoccupied",
"CYA1-L4","CYA1","4","1","3","Partially Occupied",
"CYA1-L3","CYA1","3","1","3","Partially Occupied",
"CYA1-L2","CYA1","2","1","3","Partially Occupied",
"CYA1-L1","CYA1","1","1","3","Partially Occupied",
"CYA2-L5","CYA2","5","1","3","Unoccupied",
"CYA2-L4","CYA2","4","1","3","Unoccupied",
"CYA2-L3","CYA2","3","1","3","Unoccupied",
"CYA2-L2","CYA2","2","1","3","Partially Occupied",
"CYA2-L1","CYA2","1","1","3","Partially Occupied",
"CYA3-L5","CYA3","5","1","3","Unoccupied",
"CYA3-L4","CYA3","4","1","3","Unoccupied",
"CYA3-L3","CYA3","3","1","3","Partially Occupied",
"CYA3-L2","CYA3","2","1","3","Partially Occupied",
"CYA3-L1","CYA3","1","1","3","Partially Occupied",
"CYA4-L5","CYA4","5","1","3","Unoccupied",
"CYA4-L4","CYA4","4","1","3","Unoccupied",
"CYA4-L3","CYA4","3","1","3","Partially Occupied",
"CYA4-L2","CYA4","2","1","3","Partially Occupied",
"CYA4-L1","CYA4","1","1","3","Partially Occupied",
"CYB1-L5","CYB1","5","1","3","Partially Occupied",
"CYB1-L4","CYB1","4","1","3","Partially Occupied",
"CYB1-L3","CYB1","3","1","3","Partially Occupied",
"CYB1-L2","CYB1","2","1","3","Partially Occupied",
"CYB1-L1","CYB1","1","2","2","Partially Occupied",
"CYB2-L5","CYB2","5","1","3","Partially Occupied",
"CYB2-L4","CYB2","4","1","3","Partially Occupied",
"CYB2-L3","CYB2","3","1","3","Partially Occupied",
"CYB2-L2","CYB2","2","1","3","Unoccupied",
"CYB2-L1","CYB2","1","1","3","Unoccupied",
"CYB3-L5","CYB3","5","1","3","Unoccupied",
"CYB3-L4","CYB3","4","1","3","Unoccupied",
"CYB3-L3","CYB3","3","1","3","Partially Occupied",
"CYB3-L2","CYB3","2","1","3","Partially Occupied",
"CYB3-L1","CYB3","1","1","3","Partially Occupied",
"CYB4-L5","CYB4","5","1","3","Partially Occupied",
"CYB4-L4","CYB4","4","1","3","Partially Occupied",
"CYB4-L3","CYB4","3","1","3","Partially Occupied",
"CYB4-L2","CYB4","2","1","3","Partially Occupied",
"CYB4-L1","CYB4","1","1","3","Partially Occupied",
"CYC1-L5","CYC1","5","1","3","Unoccupied",
"CYC1-L4","CYC1","4","1","3","Unoccupied",
"CYC1-L3","CYC1","3","1","3","Unoccupied",
"CYC1-L2","CYC1","2","1","3","Partially Occupied",
"CYC1-L1","CYC1","1","1","3","Partially Occupied",
"CYC2-L5","CYC2","5","1","3","Unoccupied",
"CYC2-L4","CYC2","4","1","3","Partially Occupied",
"CYC2-L3","CYC2","3","1","3","Partially Occupied",
"CYC2-L2","CYC2","2","1","3","Partially Occupied",
"CYC2-L1","CYC2","1","1","3","Unoccupied",
"CYC3-L5","CYC3","5","1","3","Partially Occupied",
"CYC3-L4","CYC3","4","1","3","Partially Occupied",
"CYC3-L3","CYC3","3","1","3","Unoccupied",
"CYC3-L2","CYC3","2","1","3","Partially Occupied",
"CYC3-L1","CYC3","1","1","3","Partially Occupied",
"CYC4-L5","CYC4","5","1","3","Unoccupied",
"CYC4-L4","CYC4","4","1","3","Unoccupied",
"CYC4-L3","CYC4","3","1","3","Unoccupied",
"CYC4-L2","CYC4","2","1","3","Partially Occupied",
"CYC4-L1","CYC4","1","1","3","Partially Occupied",
"CYD1-L5","CYD1","5","1","3","Unoccupied",
"CYD1-L4","CYD1","4","1","3","Partially Occupied",
"CYD1-L3","CYD1","3","1","3","Partially Occupied",
"CYD1-L2","CYD1","2","1","3","Partially Occupied",
"CYD1-L1","CYD1","1","1","3","Partially Occupied",
"CYD2-L5","CYD2","5","1","3","Unoccupied",
"CYD2-L4","CYD2","4","1","3","Unoccupied",
"CYD2-L3","CYD2","3","1","3","Unoccupied",
"CYD2-L2","CYD2","2","1","3","Partially Occupied",
"CYD2-L1","CYD2","1","1","3","Partially Occupied",
"CYD3-L5","CYD3","5","1","3","Unoccupied",
"CYD3-L4","CYD3","4","1","3","Unoccupied",
"CYD3-L3","CYD3","3","1","3","Unoccupied",
"CYD3-L2","CYD3","2","1","3","Partially Occupied",
"CYD3-L1","CYD3","1","1","3","Partially Occupied",
"CYD4-L5","CYD4","5","1","3","Partially Occupied",
"CYD4-L4","CYD4","4","1","3","Partially Occupied",
"CYD4-L3","CYD4","3","1","3","Partially Occupied",
"CYD4-L2","CYD4","2","1","3","Partially Occupied",
"CYD4-L1","CYD4","1","1","3","Partially Occupied",
"CYE1-L5","CYE1","5","1","3","Unoccupied",
"CYE1-L4","CYE1","4","1","3","Unoccupied",
"CYE1-L3","CYE1","3","1","3","Unoccupied",
"CYE1-L2","CYE1","2","1","3","Partially Occupied",
"CYE1-L1","CYE1","1","1","3","Partially Occupied",
"CYE2-L5","CYE2","5","3","1","Partially Occupied",
"CYE2-L4","CYE2","4","1","3","Unoccupied",
"CYE2-L3","CYE2","3","1","3","Partially Occupied",
"CYE2-L2","CYE2","2","1","3","Partially Occupied",
"CYE2-L1","CYE2","1","2","2","Partially Occupied",
"CYE3-L5","CYE3","5","1","3","Unoccupied",
"CYE3-L4","CYE3","4","1","3","Partially Occupied",
"CYE3-L3","CYE3","3","2","2","Partially Occupied",
"CYE3-L2","CYE3","2","1","3","Partially Occupied",
"CYE3-L1","CYE3","1","1","3","Partially Occupied",
"CYE4-L5","CYE4","5","1","3","Unoccupied",
"CYE4-L4","CYE4","4","1","3","Partially Occupied",
"CYE4-L3","CYE4","3","1","3","Partially Occupied",
"CYE4-L2","CYE4","2","1","3","Partially Occupied",
"CYE4-L1","CYE4","1","1","3","Partially Occupied",
"CYF1-L5","CYF1","5","1","3","Unoccupied",
"CYF1-L4","CYF1","4","1","3","Unoccupied",
"CYF1-L3","CYF1","3","1","3","Partially Occupied",
"CYF1-L2","CYF1","2","1","3","Partially Occupied",
"CYF1-L1","CYF1","1","1","3","Partially Occupied",
"CYF2-L5","CYF2","5","1","3","Unoccupied",
"CYF2-L4","CYF2","4","1","3","Unoccupied",
"CYF2-L3","CYF2","3","1","3","Unoccupied",
"CYF2-L2","CYF2","2","1","3","Partially Occupied",
"CYF2-L1","CYF2","1","1","3","Unoccupied",
"CYF3-L5","CYF3","5","2","2","Partially Occupied",
"CYF3-L4","CYF3","4","1","3","Partially Occupied",
"CYF3-L3","CYF3","3","1","3","Partially Occupied",
"CYF3-L2","CYF3","2","1","3","Unoccupied",
"CYF3-L1","CYF3","1","1","3","Unoccupied",
"CYF4-L5","CYF4","5","1","3","Unoccupied",
